"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20190901","일","남","60대이상","서울특별시","구로구","개봉동","치킨","11"
"20190901","일","남","10대","서울특별시","구로구","개봉동","치킨","12"
"20190901","일","여","40대","서울특별시","구로구","오류동","치킨","5"
"20190901","일","여","40대","서울특별시","구로구","개봉동","치킨","34"
"20190901","일","남","20대","서울특별시","구로구","개봉동","치킨","14"
"20190901","일","남","50대","서울특별시","구로구","개봉동","치킨","14"
"20190901","일","여","20대","서울특별시","구로구","궁동","치킨","5"
"20190901","일","여","30대","서울특별시","구로구","구로동","치킨","5"
"20190901","일","남","30대","서울특별시","구로구","신도림동","치킨","26"
"20190901","일","남","40대","서울특별시","구로구","가리봉동","치킨","5"
"20190901","일","남","40대","서울특별시","구로구","개봉동","치킨","30"
"20190901","일","여","40대","서울특별시","구로구","신도림동","치킨","59"
"20190901","일","남","20대","서울특별시","구로구","신도림동","치킨","21"
"20190901","일","남","40대","서울특별시","구로구","신도림동","치킨","32"
"20190901","일","여","30대","서울특별시","구로구","신도림동","치킨","28"
"20190901","일","여","30대","서울특별시","구로구","개봉동","치킨","24"
"20190901","일","여","20대","서울특별시","구로구","개봉동","치킨","14"
"20190901","일","남","10대","서울특별시","구로구","궁동","치킨","5"
"20190901","일","여","60대이상","서울특별시","구로구","개봉동","치킨","16"
"20190901","일","여","50대","서울특별시","구로구","개봉동","치킨","21"
"20190901","일","여","50대","서울특별시","구로구","구로동","치킨","5"
"20190901","일","여","50대","서울특별시","구로구","신도림동","치킨","15"
"20190901","일","여","10대","서울특별시","구로구","신도림동","치킨","10"
"20190901","일","남","10대","서울특별시","구로구","신도림동","치킨","15"
"20190901","일","여","60대이상","서울특별시","구로구","신도림동","치킨","7"
"20190901","일","남","60대이상","서울특별시","구로구","신도림동","치킨","9"
"20190901","일","남","40대","서울특별시","구로구","궁동","치킨","5"
"20190901","일","남","50대","서울특별시","구로구","구로동","치킨","5"
"20190901","일","남","50대","서울특별시","구로구","신도림동","치킨","15"
"20190901","일","여","20대","서울특별시","구로구","신도림동","치킨","19"
"20190901","일","여","10대","서울특별시","구로구","개봉동","치킨","5"
"20190901","일","여","10대","서울특별시","구로구","궁동","치킨","5"
"20190901","일","여","40대","서울특별시","구로구","가리봉동","치킨","5"
"20190901","일","남","30대","서울특별시","금천구","가산동","치킨","13"
"20190901","일","여","20대","서울특별시","금천구","가산동","치킨","5"
"20190901","일","남","40대","서울특별시","금천구","독산동","치킨","5"
"20190901","일","남","40대","서울특별시","금천구","시흥동","치킨","5"
"20190901","일","남","60대이상","서울특별시","금천구","독산동","치킨","5"
"20190901","일","남","60대이상","서울특별시","금천구","가산동","치킨","5"
"20190901","일","여","50대","서울특별시","금천구","가산동","치킨","11"
"20190901","일","여","50대","서울특별시","금천구","시흥동","치킨","5"
"20190901","일","남","20대","서울특별시","금천구","시흥동","치킨","5"
"20190901","일","남","20대","서울특별시","금천구","가산동","치킨","11"
"20190901","일","남","50대","서울특별시","금천구","가산동","치킨","11"
"20190901","일","여","40대","서울특별시","금천구","가산동","치킨","16"
"20190901","일","여","40대","서울특별시","금천구","독산동","치킨","5"
"20190901","일","여","40대","서울특별시","금천구","시흥동","치킨","5"
"20190901","일","남","30대","서울특별시","금천구","시흥동","치킨","5"
"20190901","일","여","50대","서울특별시","금천구","독산동","치킨","5"
"20190901","일","남","30대","서울특별시","금천구","독산동","치킨","5"
"20190901","일","남","10대","서울특별시","금천구","가산동","치킨","5"
"20190901","일","여","60대이상","서울특별시","금천구","가산동","치킨","5"
"20190901","일","여","20대","서울특별시","금천구","시흥동","치킨","5"
"20190901","일","여","30대","서울특별시","금천구","가산동","치킨","11"
"20190901","일","남","40대","서울특별시","금천구","가산동","치킨","11"
"20190901","일","여","20대","서울특별시","노원구","공릉동","치킨","15"
"20190901","일","여","50대","서울특별시","노원구","공릉동","치킨","24"
"20190901","일","여","30대","서울특별시","노원구","상계동","치킨","33"
"20190901","일","여","40대","서울특별시","노원구","공릉동","치킨","51"
"20190901","일","여","40대","서울특별시","노원구","하계동","치킨","5"
"20190901","일","남","20대","서울특별시","노원구","상계동","치킨","32"
"20190901","일","남","20대","서울특별시","노원구","공릉동","치킨","17"
"20190901","일","여","60대이상","서울특별시","노원구","공릉동","치킨","10"
"20190901","일","남","40대","서울특별시","노원구","공릉동","치킨","30"
"20190901","일","여","10대","서울특별시","노원구","상계동","치킨","5"
"20190901","일","남","10대","서울특별시","노원구","상계동","치킨","13"
"20190901","일","남","50대","서울특별시","노원구","중계동","치킨","5"
"20190901","일","남","50대","서울특별시","노원구","공릉동","치킨","23"
"20190901","일","남","30대","서울특별시","노원구","공릉동","치킨","38"
"20190901","일","남","60대이상","서울특별시","노원구","상계동","치킨","10"
"20190901","일","남","10대","서울특별시","노원구","중계동","치킨","5"
"20190901","일","남","10대","서울특별시","노원구","공릉동","치킨","17"
"20190901","일","여","60대이상","서울특별시","노원구","중계동","치킨","5"
"20190901","일","여","60대이상","서울특별시","노원구","상계동","치킨","22"
"20190901","일","여","50대","서울특별시","노원구","상계동","치킨","33"
"20190901","일","남","30대","서울특별시","노원구","상계동","치킨","34"
"20190901","일","남","30대","서울특별시","노원구","중계동","치킨","5"
"20190901","일","여","40대","서울특별시","노원구","상계동","치킨","88"
"20190901","일","남","40대","서울특별시","노원구","상계동","치킨","56"
"20190901","일","여","30대","서울특별시","노원구","공릉동","치킨","25"
"20190901","일","여","20대","서울특별시","노원구","상계동","치킨","15"
"20190901","일","남","50대","서울특별시","노원구","상계동","치킨","19"
"20190901","일","여","10대","서울특별시","노원구","공릉동","치킨","9"
"20190901","일","남","60대이상","서울특별시","노원구","공릉동","치킨","6"
"20190901","일","여","30대","서울특별시","도봉구","방학동","치킨","5"
"20190901","일","남","40대","서울특별시","도봉구","쌍문동","치킨","5"
"20190901","일","남","40대","서울특별시","도봉구","방학동","치킨","5"
"20190901","일","여","50대","서울특별시","도봉구","쌍문동","치킨","5"
"20190901","일","남","10대","서울특별시","도봉구","방학동","치킨","5"
"20190901","일","여","60대이상","서울특별시","도봉구","방학동","치킨","5"
"20190901","일","여","60대이상","서울특별시","도봉구","쌍문동","치킨","5"
"20190901","일","남","60대이상","서울특별시","도봉구","쌍문동","치킨","5"
"20190901","일","남","50대","서울특별시","도봉구","도봉동","치킨","5"
"20190901","일","남","40대","서울특별시","도봉구","도봉동","치킨","5"
"20190901","일","남","20대","서울특별시","도봉구","방학동","치킨","5"
"20190901","일","여","40대","서울특별시","도봉구","쌍문동","치킨","5"
"20190901","일","여","20대","서울특별시","도봉구","쌍문동","치킨","5"
"20190901","일","남","10대","서울특별시","동대문구","장안동","치킨","5"
"20190901","일","남","10대","서울특별시","동대문구","제기동","치킨","5"
"20190901","일","남","20대","서울특별시","동대문구","장안동","치킨","14"
"20190901","일","남","30대","서울특별시","동대문구","장안동","치킨","13"
"20190901","일","남","30대","서울특별시","동대문구","제기동","치킨","17"
"20190901","일","남","50대","서울특별시","동대문구","제기동","치킨","7"
"20190901","일","남","60대이상","서울특별시","동대문구","장안동","치킨","5"
"20190901","일","남","60대이상","서울특별시","동대문구","제기동","치킨","5"
"20190901","일","여","10대","서울특별시","동대문구","제기동","치킨","5"
"20190901","일","여","20대","서울특별시","동대문구","장안동","치킨","8"
"20190901","일","여","20대","서울특별시","동대문구","제기동","치킨","8"
"20190901","일","여","30대","서울특별시","동대문구","장안동","치킨","15"
"20190901","일","여","40대","서울특별시","동대문구","제기동","치킨","16"
"20190901","일","남","20대","서울특별시","동대문구","제기동","치킨","13"
"20190901","일","남","40대","서울특별시","동대문구","장안동","치킨","16"
"20190901","일","남","40대","서울특별시","동대문구","제기동","치킨","19"
"20190901","일","남","50대","서울특별시","동대문구","장안동","치킨","5"
"20190901","일","남","60대이상","서울특별시","동대문구","전농동","치킨","5"
"20190901","일","여","20대","서울특별시","동대문구","전농동","치킨","5"
"20190901","일","여","30대","서울특별시","동대문구","제기동","치킨","11"
"20190901","일","여","40대","서울특별시","동대문구","장안동","치킨","23"
"20190901","일","여","50대","서울특별시","동대문구","장안동","치킨","10"
"20190901","일","여","50대","서울특별시","동대문구","제기동","치킨","7"
"20190901","일","여","60대이상","서울특별시","동대문구","장안동","치킨","5"
"20190901","일","여","60대이상","서울특별시","동대문구","제기동","치킨","5"
"20190901","일","남","30대","서울특별시","동작구","상도1동","치킨","5"
"20190901","일","여","20대","서울특별시","동작구","본동","치킨","5"
"20190901","일","남","50대","서울특별시","동작구","노량진동","치킨","5"
"20190901","일","남","20대","서울특별시","동작구","상도1동","치킨","5"
"20190901","일","여","40대","서울특별시","동작구","노량진동","치킨","5"
"20190901","일","남","30대","서울특별시","동작구","사당동","치킨","5"
"20190901","일","남","40대","서울특별시","동작구","상도1동","치킨","5"
"20190901","일","남","20대","서울특별시","동작구","본동","치킨","5"
"20190901","일","남","60대이상","서울특별시","동작구","본동","치킨","5"
"20190901","일","여","30대","서울특별시","동작구","본동","치킨","6"
"20190901","일","여","50대","서울특별시","동작구","사당동","치킨","5"
"20190901","일","남","50대","서울특별시","동작구","사당동","치킨","5"
"20190901","일","여","30대","서울특별시","동작구","사당동","치킨","5"
"20190901","일","남","30대","서울특별시","동작구","본동","치킨","5"
"20190901","일","여","60대이상","서울특별시","동작구","대방동","치킨","5"
"20190901","일","여","10대","서울특별시","동작구","본동","치킨","5"
"20190901","일","여","50대","서울특별시","동작구","상도1동","치킨","5"
"20190901","일","남","20대","서울특별시","마포구","망원동","치킨","5"
"20190901","일","여","50대","서울특별시","마포구","상암동","치킨","10"
"20190901","일","여","50대","서울특별시","마포구","합정동","치킨","7"
"20190901","일","남","60대이상","서울특별시","마포구","상암동","치킨","5"
"20190901","일","여","60대이상","서울특별시","마포구","상암동","치킨","5"
"20190901","일","여","10대","서울특별시","마포구","대흥동","치킨","5"
"20190901","일","여","10대","서울특별시","마포구","망원동","치킨","5"
"20190901","일","여","10대","서울특별시","마포구","합정동","치킨","5"
