,baseDate,cctvCnt,cctvIns,manageNm,newAddr,oldAddr,pacNm,pacType,posx,posy,precinct,roadWidth,seq
36,2018-08-14,6.0,Y,전라북도 전주시,전라북도 전주시 완산구 송정로 11-16 전주효자초등학교,전라북도 전주시 완산구 효자동2가 567,효자초등학교,초등학교,127.1225803,35.8033401,전주완산경찰서,,210
37,2018-08-14,8.0,Y,전라북도 전주시,전라북도 전주시 완산구 거마남로 65 전주삼천남초등학교,전라북도 전주시 완산구 삼천동1가 산131-1,삼천남초등학교,초등학교,127.1234408,35.7961882,전주완산경찰서,,209
38,2018-08-14,5.0,Y,전라북도 전주시,전라북도 전주시 완산구 장승배기로 376 전주남초등학교,전라북도 전주시 완산구 서서학동 277,전주남초등학교,초등학교,127.1507875,35.8034667,전주완산경찰서,,208
39,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 양지2길 11-26 양지초등학교,전라북도 전주시 완산구 평화2동 582,양지초등학교,초등학교,127.1259578,35.7924966,전주완산경찰서,,207
40,2018-08-14,5.0,Y,전라북도 전주시,전라북도 전주시 완산구 안행로 127 효정중학교,전라북도 전주시 완산구 서완산동 277-1,완산서초등학교,초등학교,127.132875,35.8070917,전주완산경찰서,,206
41,2018-08-14,5.0,Y,전라북도 전주시,전라북도 전주시 완산구 화산천변8길 10 전주한들초등학교,전라북도 전주시 완산구 중화산동2가 752-4,한들초등학교,초등학교,127.1171076,35.821084,전주완산경찰서,,205
42,2018-08-14,6.0,Y,전라북도 전주시,전라북도 전주시 완산구 삼천천변1길 16 용흥초등학교,전라북도 전주시 완산구 삼천동1가 765-2,용흥초등학교,초등학교,127.1123305,35.7947023,전주완산경찰서,,204
43,2018-08-14,9.0,Y,전라북도 전주시,전라북도 전주시 완산구 평화로 85 전주지곡초등학교,전라북도 전주시 완산구 평화동2가 897-3,지곡초등학교,초등학교,127.1328344,35.7842458,전주완산경찰서,,203
44,2018-08-14,6.0,Y,전라북도 전주시,전라북도 전주시 완산구 새터로 73 전주서일초등학교,전라북도 전주시 완산구 서신동 960-4,서일초등학교,초등학교,127.114975,35.8364071,전주완산경찰서,,202
45,2018-08-14,8.0,Y,전라북도 전주시,전라북도 전주시 완산구 고사평8길 11 여울초등학교,전라북도 전주시 완산구 서신동 923,여울초등학교,초등학교,127.1113931,35.8375216,전주완산경찰서,,201
46,2018-08-14,7.0,Y,전라북도 전주시,전라북도 전주시 완산구 서곡7길 30 전주서곡초등학교,전라북도 전주시 완산구 효자3가 1474??,서곡초등학교,초등학교,127.099921,35.8328964,전주완산경찰서,,200
47,2018-08-14,11.0,Y,전라북도 전주시,전라북도 전주시 완산구 서신천변11길 19 전주서문초등학교,전라북도 전주시 완산구 서신동 820,서문초등학교,초등학교,127.1120125,35.8298333,전주완산경찰서,,199
48,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 한배미5길 7 예일키즈,전라북도 전주시 덕진구 인후동1가 953-11,예일키즈어린이집,어린이집,127.1676979,35.8236771,전주덕진경찰서,,198
49,2018-08-14,4.0,Y,전라북도 전주시,전라북도 전주시 덕진구 원고랑2길 16 재능나라어린이집,전라북도 전주시 덕진구 고랑동 735,재능나라어린이집,어린이집,127.0846125,35.8742237,전주덕진경찰서,,197
50,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 신복7길 2-14 팔복어린이집,전라북도 전주시 덕진구 팔복동1가 273-2,팔복어린이집,어린이집,127.104325,35.8555071,전주덕진경찰서,,196
51,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 덕진구 와룡로 109-13 한빛어린이집,전라북도 전주시 덕진구 송천동2가 608-5,한빛어린이집,어린이집,127.1129547,35.8689105,전주덕진경찰서,,195
52,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 무삼지5길 6-3 햇살나라어린이집,전라북도 전주시 덕진구 인후동1가 903-4,햇살나라어린이집,어린이집,127.1645107,35.827794,전주덕진경찰서,,194
53,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 번영로 230-14 자림원,전라북도 전주시 덕진구 성덕동 477,자림원,특수학교,127.0339729,35.8748154,전주덕진경찰서,,193
54,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 덕진구 모래내6길 26-16 전주유화학교,전라북도 전주시 덕진구 인후동2가 26-7,유화학교,특수학교,127.1459554,35.8373171,전주덕진경찰서,,192
55,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 완산구 안행5길 35 금호아파트 청노로유치원,전라북도 전주시 완산구 효자동1가 98,청노루유치원,유치원,127.1310296,35.8042431,전주완산경찰서,,191
56,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 천마산로 34 초록빛유치원,전라북도 전주시 덕진구 송천동1가 107-161,초록빛유치원,유치원,127.125377,35.863638,전주덕진경찰서,,190
57,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 초포로 171 초포초등학교병설유치원,전라북도 전주시 덕진구 호성동2가 835,초포초등학교병설유치원,유치원,127.139133,35.877015,전주덕진경찰서,,189
58,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 덕진구 매봉16길 9 코끼리유치원,전라북도 전주시 덕진구 금암동 1573-3,코끼리유치원,유치원,127.141526,35.8380668,전주덕진경찰서,,188
59,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 신봉3길 17-9 크레용유치원,전라북도 전주시 완산구 효자동1가 603-4,크레용유치원,유치원,127.116463,35.811567,전주완산경찰서,,187
60,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 무삼지로 32 인후 꿈마을 부영아파트,전라북도 전주시 덕진구 인후동1가 890-1,큰동그라미유치원,유치원,127.1647568,35.8285997,전주덕진경찰서,,186
61,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 덕진구 팔과정로 181팔복초등학교병설유치원,전라북도 전주시 덕진구 동산동 374-1,팔복초등학교병설유치원,유치원,127.0948558,35.863531,전주덕진경찰서,,185
62,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 완산구 꽃밭정로 65 평화초등학교병설유치원,전라북도 전주시 완산구 평화동1가 389,평화초등학교병설유치원,유치원,127.139367,35.799375,전주완산경찰서,,184
63,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 완산구 평화2길 12 폴유치원,전라북도 전주시 완산구 평화동2가 96-3,폴유치원,유치원,127.1340799,35.7818211,전주완산경찰서,,183
